Mes,Nacionalidad,Regulares - Entradas Tumbes,Regulares - Entradas Puno,Regulares - Entradas Tacna,Regulares - Entradas Aeropuerto,Regulares - Entradas Madre de Dios,Regulares - Entradas otros,Regulares - TOTAL Entradas,Regulares - Salidas Tumbes,Regulares - Salidas Puno,Regulares - Salidas Tacna,Regulares - Salidas Aeropuerto,Regulares - Salidas Madre de Dios,Regulares - Salidas otros,Regulares - TOTAL Salidas,Irregulares - Entradas Tumbes - Cifra GTRM (acordada con Ecuador),Irregulares - Entradas Tumbes (solo Conteo DTM),Irregulares - Entradas Tacna,Irregulares - Entradas Puno,Irregulares - Entradas Madre de Dios (Monitoreo Fronteras ACNUR),Irregulares - TOTAL Entradas,Irregulares - Salidas Tumbes - Cifra GTRM (acordada con Ecuador),Irregulares - Salidas Tumbes (solo Conteo DTM),Irregulares - Salidas Tacna,Irregulares - Salidas Puno,Irregulares - Salidas Madre de Dios (Monitoreo Fronteras ACNUR),Irregulares - TOTAL Salidas
2022 - 01,VEN,14,0,0,3672,1,12,3699,14,4,0,4143,0,22,4183,55986,26378,2356,2350,,31084,18740,15972,7781,5640,,29393
2022 - 02,VEN,23,3,0,2214,1,18,2259,26,4,0,4071,32,10,4143,36213,26798,1624,1820,,30242,13682,13682,10836,9030,,33548
2022 - 03,VEN,24,1,1,2435,5,20,2486,27,32,2,4454,39,52,4606,40040,32032,3763,1556,,37351,15574,15574,7868,10026,,33468
2022 - 04,VEN,27,8,0,2246,7,28,2316,21,55,3,4120,20,53,4272,30210,25376,1748,2108,,29232,14468,14468,4080,7343,,25891
2022 - 05,VEN,14,17,66,2303,4,36,2440,24,53,62,4175,29,34,4377,28861,24243,5673,2201,,32117,17658,13716,4910,7347,,25973
2022 - 06,VEN,20,10,90,2062,8,14,2204,20,30,99,3874,48,34,4105,23633,19672,8048,1860,,29580,12210,12210,4088,4185,,20483
2022 - 07,VEN,12,20,114,2134,3,29,2312,21,62,99,3693,25,40,3940,26211,21942,9928,1899,,33769,17290,13398,4216,4061,,21675
2022 - 08,VEN,15,28,110,2527,15,24,2719,19,72,112,4050,48,48,4349,27237,22716,12071,1655,,36442,16418,16418,5890,3987,,26295
2022 - 09,VEN,30,25,133,2552,11,23,2774,25,51,119,4253,38,42,4528,21578,18126,9818,1110,,29054,15225,15225,5115,6495,,26835
2022 - 10,VEN,28,21,166,2682,9,42,2948,25,54,145,4389,39,47,4699,27753,23313,13198,1039,,37550,14330,14330,9788,6936,,31054
2022 - 11,VEN,36,9,145,2579,3,37,2809,22,48,141,4566,29,46,4852,24138,24138,10848,1206,,36192,11040,11040,13374,3426,,27840
2022 - 12,VEN,38,8,149,2408,3,48,2654,27,37,111,6595,23,69,6862,12766,16596,5851,558,,23005,7738,7738,4790,1209,,13737
2023 - 01,VEN,48,110,1,4062,6,35,4262,23,116,3,4269,39,52,4502,15936,18761,5487,,,21423,9362,9362,5363,,,14725
2023 - 01,OTRAS,,,,,,,,,,,,,,,,453,3379,,,3832,,992,558,,,1550
